640000,523159,362728,280463,223214,180495,146740,119710
640000,523159,362288,280306,223398,180778,147049,120156
640000,523159,362267,279749,223067,180340,146656,119784
640000,523159,362483,280166,223311,180560,146641,119595
640000,523159,362403,280050,223341,180564,146528,119454
640000,523159,362148,280058,222828,180016,146613,119768
640000,523159,362432,279908,222710,179843,146030,119223
640000,523159,362638,279881,223265,180436,146775,119600
640000,523159,362086,279934,223102,180527,147037,120059
640000,523159,362323,279620,222546,179910,146255,119561
